Timestamp,Year of Study,Department,Gender,1. Difficulty Falling Asleep,2. Avg Sleep Hours,3. Waking at Night,4. Sleep Quality,5. Concentration Issues,6. Daytime Fatigue,7. Classes Missed (per week),8. Assignment Impact,9. Screen Time Before Bed,10. Caffeine Use,11. Physical Activity,12. Stress Level,13. Academic Performance
"19/3/2026, 7:48:24 pm",Second year,ECE,Female,Often (5-6 times a week),6-7 hours,Often (5-6 times a week),Average,Sometimes,Sometimes,Sometimes (1-2 times a week),Moderate impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Average
"19/3/2026, 7:49:53 pm",Third year,CSE,Female,Often (5-6 times a week),4-5 hours,Sometimes (3-4 times a week),Poor,Never,Rarely,Rarely (1-2 times a month),Moderate impact,Never,Sometimes (3-4 times a week),Never,Low stress,Average
"19/3/2026, 8:04:37 pm",Third year,CSE,Male,Sometimes (3-4 times a week),6-7 hours,Sometimes (3-4 times a week),Very good,Sometimes,Always,Often (3-4 times a week),Moderate impact,Every night,Never,Every day,High stress,Below Average
"19/3/2026, 9:15:36 pm",Second year,CSE,Male,Sometimes (3-4 times a week),4-5 hours,Sometimes (3-4 times a week),Average,Never,Rarely,Rarely (1-2 times a month),Moderate impact,Never,Rarely (1-2 times a week),Rarely (1-2 times a week),Low stress,Below Average
"19/3/2026, 11:47:56 pm",Third year,CSE,Male,Rarely (1-2 times a week),Less than 4 hours,Never,Good,Rarely,Rarely,Sometimes (1-2 times a week),Minor impact,Every night,Never,Every day,Low stress,Average
"20/3/2026, 12:13:04 am",Third year,ECE,Female,Sometimes (3-4 times a week),5-6 hours,Sometimes (3-4 times a week),Average,Often,Often,Sometimes (1-2 times a week),Moderate impact,Every night,Never,Never,Low stress,Average
"20/3/2026, 11:24:29 am",Third year,ECE,Female,Often (5-6 times a week),Less than 4 hours,Every night,Very poor,Always,Always,Always,Moderate impact,Often (5-6 times a week),Every day,Never,Extremely high stress,Poor
"20/3/2026, 4:02:37 pm",Third year,CSE,Male,Rarely (1-2 times a week),6-7 hours,Never,Good,Rarely,Rarely,Rarely (1-2 times a month),Moderate impact,Every night,Never,Rarely (1-2 times a week),No stress,Good
"26/3/2026, 12:58:19 pm",Second year,Mechanical,Female,Sometimes (3-4 times a week),6-7 hours,Sometimes (3-4 times a week),Average,Sometimes,Rarely,Rarely (1-2 times a month),Minor impact,Every night,Never,Sometimes (3-4 times a week),Low stress,Good
"26/3/2026, 1:01:07 pm",Second year,Mechanical,Female,Sometimes (3-4 times a week),6-7 hours,Sometimes (3-4 times a week),Average,Sometimes,Rarely,Rarely (1-2 times a month),Minor impact,Every night,Never,Sometimes (3-4 times a week),Low stress,Good
"27/3/2026, 4:29:19 pm",Fourth year,CSE,Male,Sometimes (3-4 times a week),Less than 4 hours,Often (5-6 times a week),Average,Rarely,Sometimes,Rarely (1-2 times a month),Moderate impact,Often (5-6 times a week),Every day,Rarely (1-2 times a week),Low stress,Good
"27/3/2026, 8:30:05 pm",First year,EEE,Male,Sometimes (3-4 times a week),6-7 hours,Often (5-6 times a week),Average,Rarely,Rarely,Rarely (1-2 times a month),Minor impact,Every night,Never,Sometimes (3-4 times a week),Low stress,Average
"29/3/2026, 1:48:39 pm",Third year,CSE,Male,Rarely (1-2 times a week),6-7 hours,Sometimes (3-4 times a week),Good,Rarely,Sometimes,Rarely (1-2 times a month),Minor impact,Every night,Rarely (1-2 times a week),Sometimes (3-4 times a week),Extremely high stress,Average
