Variable,T-test p,T-test sig,Cohen d,Effect size,KW p,KW sig
Sleep_Onset,3.060675467453274e-07,***,-1.455,Large,1.4189395749436105e-11,***
Sleep_Duration,1.94200025694497e-05,***,-1.289,Large,5.365045354541717e-08,***
Night_Arousals,1.3627470393331748e-08,***,-1.771,Large,5.977857268413224e-14,***
Sleep_Quality,0.9137529466398497,ns,-0.012,Negligible,0.8768989250789431,ns
Difficulty_Concentrating,8.520538340756078e-08,***,-1.422,Large,4.555251457027432e-12,***
Fatigue,1.524958994858044e-10,***,-1.788,Large,4.48874076950433e-16,***
Miss_Classes,2.613673379357561e-08,***,-1.51,Large,1.5202245540934549e-12,***
Miss_Deadlines,1.0940036350921968e-09,***,-1.541,Large,1.4339627381267273e-14,***
Screen_Time,1.4254069825621862e-08,***,-1.542,Large,3.856738595434391e-13,***
Caffeine,3.862483101151459e-08,***,-1.736,Large,3.17292386888115e-17,***
Exercise,8.435111044975381e-06,***,-1.223,Large,3.416404472047992e-11,***
Stress,5.808172221621061e-07,***,-1.346,Large,2.6284281257049757e-10,***
