Timestamp,Year of Study,Department,Gender,1. Difficulty Falling Asleep,2. Avg Sleep Hours,3. Waking at Night,4. Sleep Quality,5. Concentration Issues,6. Daytime Fatigue,7. Classes Missed (per week),8. Assignment Impact,9. Screen Time Before Bed,10. Caffeine Use,11. Physical Activity,12. Stress Level,13. Academic Performance
"19/3/2026, 7:48:24 pm",second year,ece,female,often (5-6 times a week),6-7 hours,often (5-6 times a week),average,sometimes,sometimes,sometimes (1-2 times a week),moderate impact,sometimes (3-4 times a week),sometimes (3-4 times a week),sometimes (3-4 times a week),low stress,average
"19/3/2026, 7:49:53 pm",third year,cse,female,often (5-6 times a week),4-5 hours,sometimes (3-4 times a week),poor,never,rarely,rarely (1-2 times a month),moderate impact,never,sometimes (3-4 times a week),never,low stress,average
"19/3/2026, 8:04:37 pm",third year,cse,male,sometimes (3-4 times a week),6-7 hours,sometimes (3-4 times a week),very good,sometimes,always,often (3-4 times a week),moderate impact,every night,never,every day,high stress,below average
"19/3/2026, 9:15:36 pm",second year,cse,male,sometimes (3-4 times a week),4-5 hours,sometimes (3-4 times a week),average,never,rarely,rarely (1-2 times a month),moderate impact,never,rarely (1-2 times a week),rarely (1-2 times a week),low stress,below average
"19/3/2026, 11:47:56 pm",third year,cse,male,rarely (1-2 times a week),less than 4 hours,never,good,rarely,rarely,sometimes (1-2 times a week),minor impact,every night,never,every day,low stress,average
"20/3/2026, 12:13:04 am",third year,ece,female,sometimes (3-4 times a week),5-6 hours,sometimes (3-4 times a week),average,often,often,sometimes (1-2 times a week),moderate impact,every night,never,never,low stress,average
"20/3/2026, 11:24:29 am",third year,ece,female,often (5-6 times a week),less than 4 hours,every night,very poor,always,always,always,moderate impact,often (5-6 times a week),every day,never,extremely high stress,poor
"20/3/2026, 4:02:37 pm",third year,cse,male,rarely (1-2 times a week),6-7 hours,never,good,rarely,rarely,rarely (1-2 times a month),moderate impact,every night,never,rarely (1-2 times a week),no stress,good
"26/3/2026, 12:58:19 pm",second year,mechanical,female,sometimes (3-4 times a week),6-7 hours,sometimes (3-4 times a week),average,sometimes,rarely,rarely (1-2 times a month),minor impact,every night,never,sometimes (3-4 times a week),low stress,good
"26/3/2026, 1:01:07 pm",second year,mechanical,female,sometimes (3-4 times a week),6-7 hours,sometimes (3-4 times a week),average,sometimes,rarely,rarely (1-2 times a month),minor impact,every night,never,sometimes (3-4 times a week),low stress,good
"27/3/2026, 4:29:19 pm",fourth year,cse,male,sometimes (3-4 times a week),less than 4 hours,often (5-6 times a week),average,rarely,sometimes,rarely (1-2 times a month),moderate impact,often (5-6 times a week),every day,rarely (1-2 times a week),low stress,good
"27/3/2026, 8:30:05 pm",first year,eee,male,sometimes (3-4 times a week),6-7 hours,often (5-6 times a week),average,rarely,rarely,rarely (1-2 times a month),minor impact,every night,never,sometimes (3-4 times a week),low stress,average
"29/3/2026, 1:48:39 pm",third year,cse,male,rarely (1-2 times a week),6-7 hours,sometimes (3-4 times a week),good,rarely,sometimes,rarely (1-2 times a month),minor impact,every night,rarely (1-2 times a week),sometimes (3-4 times a week),extremely high stress,average
"29/3/2026, 2:11:41 pm",third year,cse,male,rarely (1-2 times a week),5-6 hours,never,average,rarely,often,sometimes (1-2 times a week),minor impact,every night,rarely (1-2 times a week),never,extremely high stress,average
"29/3/2026, 2:44:02 pm",first year,cse,male,rarely (1-2 times a week),7-8 hours,often (5-6 times a week),good,rarely,rarely,rarely (1-2 times a month),minor impact,often (5-6 times a week),sometimes (3-4 times a week),sometimes (3-4 times a week),low stress,good
