Variable,T-test p,T-test sig,Cohen d,Effect size,KW p,KW sig
Sleep_Onset,0.0005794980796590505,***,-0.278,Small,0.0006397961498173898,***
Sleep_Duration,5.386589449292336e-08,***,0.452,Small,4.9369848902759434e-09,***
Night_Arousals,5.6936260226870514e-05,***,-0.349,Small,0.00014495452877536264,***
Sleep_Quality,0.08771644571226944,ns,0.138,Negligible,0.08198028746464667,ns
Difficulty_Concentrating,0.1468353109821102,ns,0.122,Negligible,0.06170786715824398,ns
Fatigue,0.5412061103392133,ns,-0.051,Negligible,0.43405118622362526,ns
Miss_Classes,0.3433959315776618,ns,-0.076,Negligible,0.4297853361358718,ns
Miss_Deadlines,0.24502067420619658,ns,-0.092,Negligible,0.328889867708272,ns
Screen_Time,0.12227994010063761,ns,-0.133,Negligible,0.2559313914273267,ns
Caffeine,0.6364139983215935,ns,-0.04,Negligible,0.7611308744668885,ns
Exercise,0.4125035297347238,ns,0.068,Negligible,0.33836232817890693,ns
Stress,1.2967958801803475e-09,***,-0.501,Medium,3.345487698635023e-10,***
